period,lower,mean,upper,label,experiment_id,run_id,subba
2024-06-21 09:00:00,40.52941176470589,56.33367824960294,111.12753663297356,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 10:00:00,40.38823529411765,51.5017822712139,99.77523162780088,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 11:00:00,41.588772403326594,50.17933418364025,111.99807383627608,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 12:00:00,40.24705882352941,48.58568571497953,106.22331513292964,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 13:00:00,40.31010379653852,48.3800935735069,87.12724275435353,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 14:00:00,40.90904215705017,50.58753775983433,94.76862984518291,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 15:00:00,46.387626388904906,58.8886878055288,109.21930049280265,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 16:00:00,61.46263898072124,144.7603342362022,158.88786867910207,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 17:00:00,93.56383112561456,160.25922963741863,172.45007631248805,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 18:00:00,104.57124600844148,166.78527613885416,187.75736775327428,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 19:00:00,47.95850455826853,182.0531482898932,197.6716197651767,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 20:00:00,42.78823529411764,116.04768538737451,140.3980271863717,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 21:00:00,61.03273823863282,124.04294637167892,141.15577306357986,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 22:00:00,43.14117647058824,127.3394708442813,141.6033926461945,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-21 23:00:00,44.98145143743878,116.60789525415792,139.67191011235957,2024-06-21,480199206727514729,e6fc5bdacd414bdb81f0aa9cf65ad21a,VEA
2024-06-23 00:00:00,12034.820899802256,12587.46454637604,13137.631361510068,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 01:00:00,12505.418557778865,13334.530379553467,14123.284868047638,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 02:00:00,13135.037833722028,14071.06292610607,15178.50590206989,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 03:00:00,13691.028081564187,14740.010693963928,16134.85752220698,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 04:00:00,13734.26293557889,14952.824790450884,16306.209458146845,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 05:00:00,13480.264244008227,14721.2709565704,16076.984095843862,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 06:00:00,13140.170772368636,14377.96419122234,15616.408552418656,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 07:00:00,12301.072614531424,13537.068588373786,14911.52507312036,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 08:00:00,11424.952272461069,12594.062487598949,14040.894566616127,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 09:00:00,10922.43658204496,11938.800607956871,13417.198505927092,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 10:00:00,10270.14403384949,11263.559779636003,12690.940921140478,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 11:00:00,9763.032008787246,10770.929659825288,12040.17579082683,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 12:00:00,9484.360910855548,10411.878922727028,11823.734439403848,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 13:00:00,9119.254306269924,10191.78463642704,11638.321354384643,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
2024-06-23 14:00:00,9074.17520067443,10321.083960308517,11642.112069738649,2024-06-23,658684304568846825,2279a29a08464a6c9af37d98915604e6,PGAE
